WKT,id,
"LINESTRING (223.390621137906777 744.018368543607721,223.390621137904674 821.384067425722378)",0
"LINESTRING (379.055888882895943 10.264550859409949,379.055888882894578 62.018367431537975)",1
"LINESTRING (223.390621137906834 823.499764207245903,297.642014659243557 823.499764207245903)",2
"LINESTRING (297.642014659243557 823.499764207245903,298.390499239674227 823.499764207245903)",3
"LINESTRING (298.390499239674227 823.499764207245903,864.182420747654305 823.49976420724613)",4
"LINESTRING (472.89062113791573 741.768368543602605,864.182420747654419 741.768368543601582)",5
"LINESTRING (223.390621137906777 821.384067425722833,275.89062113791573 821.384067425723629)",6
"LINESTRING (223.390621137906777 821.384067425722378,297.641980369603743 821.384067425722151)",7
"LINESTRING (297.642014659243557 823.499764207244993,298.390499239674227 823.499764207244993)",8
"LINESTRING (298.390499239674227 823.499764207244993,467.890621137908397 823.499764207246017)",9
"LINESTRING (223.390621137904674 744.018368543606698,223.390621137906777 821.384067425722378)",10
"LINESTRING (223.390621137906777 821.384067425722833,223.390621137906834 823.499764207245903)",11
"LINESTRING (111.501852220310539 744.018368543607835,128.140621137901036 744.018368543607608)",12
"LINESTRING (128.140621137901036 744.018368543607608,223.390621137904674 744.018368543606698)",13
"LINESTRING (223.390621137906777 744.018368543606698,297.640726483899584 744.018368543606016)",14
"LINESTRING (297.640726483899584 744.018368543606016,298.389211064328151 744.018368543606016)",15
"LINESTRING (111.501852220311221 744.018368543608517,128.140621137901036 744.018368543608403)",16
"LINESTRING (128.140621137901036 744.018368543608403,223.390621137904674 744.018368543607721)",17
"LINESTRING (223.390621137906777 744.018368543607721,297.640726483899584 744.018368543607153)",18
"LINESTRING (526.319553326052642 62.018367431537975,582.390621137915673 118.089435243402804)",19
"LINESTRING (582.390621137915673 194.018367431537968,608.390621137915787 194.018367431537939)",20
"LINESTRING (577.390621137915673 255.018367431536205,582.390621137915673 255.018367431536205)",21
"LINESTRING (582.390621137915673 255.018367431536205,608.390621137915787 255.018367431536205)",22
"LINESTRING (582.390621137915673 118.089435243402804,582.390621137915673 183.517963792815749)",23
"LINESTRING (582.390621137915673 183.517963792815749,582.390621137915673 194.018367431537968)",24
"LINESTRING (582.390621137915673 118.089435243402804,582.390621137915673 183.517963792815749)",25
"LINESTRING (582.390621137915673 183.517963792815749,582.390621137915673 194.018367431537939)",26
"LINESTRING (608.390621137915787 194.018367431537939,608.390621137915673 247.700090875854897)",27
"LINESTRING (608.390621137915787 194.018367431537939,608.390621137915787 255.018367431536205)",28
"LINESTRING (29.258448394009491 194.01836743230561,55.258448394009605 194.018367432304643)",29
"LINESTRING (29.258448394009491 255.018367432303791,55.258448394009491 255.018367432303791)",30
"LINESTRING (55.258448394009491 255.018367432303791,60.258448394009491 255.018367432303819)",31
"LINESTRING (29.258448394009491 194.01836743230561,29.258448394009491 255.018367432303791)",32
"LINESTRING (29.258448394009491 194.01836743230561,29.258448394009491 247.700090876622511)",33
"LINESTRING (55.25844839401136 118.720766955567598,55.258448394009605 194.018367432304643)",34
